order_id,order_hour,city_tier,pricing_model,checkout_layout,basket_value_usd,delivery_time_min,net_margin_usd
ORD-500000,12,tier_1_megacity,dynamic_surge_multiplier,one_click_express,707.18,15.0,179.3
ORD-500001,18,tier_2_regional,dynamic_surge_multiplier,gamified_loyalty_bar,26.64,55.0,10.56
ORD-500002,15,tier_2_regional,fixed_low_fee,upsell_grid_modal,45.36,24.0,6.08
ORD-500003,20,tier_1_megacity,fixed_low_fee,one_click_express,42.49,35.0,3.27
ORD-500004,13,tier_1_megacity,dynamic_surge_multiplier,gamified_loyalty_bar,30.67,29.0,10.51
ORD-500005,12,tier_1_megacity,tiered_basket_subsidy,one_click_express,42.82,36.0,7.0
ORD-500006,8,tier_2_regional,fixed_low_fee,one_click_express,33.29,21.0,4.59
ORD-500007,13,tier_2_regional,tiered_basket_subsidy,one_click_express,28.16,40.0,6.82
ORD-500008,19,tier_1_megacity,tiered_basket_subsidy,gamified_loyalty_bar,56.22,27.0,11.35
ORD-500009,18,tier_3_small,fixed_low_fee,gamified_loyalty_bar,34.61,19.0,6.35
ORD-500010,11,tier_2_regional,dynamic_surge_multiplier,gamified_loyalty_bar,35.3,45.0,9.26
ORD-500011,23,tier_3_small,dynamic_surge_multiplier,gamified_loyalty_bar,23.07,37.0,4.49
ORD-500012,8,tier_2_regional,fixed_low_fee,upsell_grid_modal,36.83,41.0,7.06
ORD-500013,17,tier_2_regional,tiered_basket_subsidy,upsell_grid_modal,33.15,20.0,5.26
ORD-500014,8,tier_2_regional,tiered_basket_subsidy,one_click_express,25.92,25.0,4.77
ORD-500015,13,tier_2_regional,fixed_low_fee,gamified_loyalty_bar,34.46,33.0,1.77
ORD-500016,15,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,29.31,37.0,4.0
ORD-500017,20,tier_1_megacity,dynamic_surge_multiplier,upsell_grid_modal,24.17,30.0,10.52
ORD-500018,8,tier_1_megacity,tiered_basket_subsidy,one_click_express,45.98,28.0,5.56
ORD-500019,11,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,48.33,28.0,7.14
ORD-500020,14,tier_2_regional,dynamic_surge_multiplier,gamified_loyalty_bar,25.99,26.0,3.32
ORD-500021,18,tier_1_megacity,dynamic_surge_multiplier,gamified_loyalty_bar,33.53,22.0,2.51
ORD-500022,23,tier_1_megacity,fixed_low_fee,upsell_grid_modal,35.71,20.0,6.0
ORD-500023,13,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,44.62,35.0,5.79
ORD-500024,11,tier_1_megacity,fixed_low_fee,gamified_loyalty_bar,33.58,27.0,4.78
ORD-500025,19,tier_2_regional,tiered_basket_subsidy,upsell_grid_modal,18.46,24.0,6.29
ORD-500026,20,tier_1_megacity,dynamic_surge_multiplier,gamified_loyalty_bar,21.13,52.0,13.92
ORD-500027,21,tier_1_megacity,dynamic_surge_multiplier,gamified_loyalty_bar,37.66,47.0,10.9
ORD-500028,13,tier_1_megacity,tiered_basket_subsidy,upsell_grid_modal,38.65,37.0,4.94
ORD-500029,16,tier_2_regional,dynamic_surge_multiplier,one_click_express,29.41,32.0,5.66
ORD-500030,10,tier_1_megacity,tiered_basket_subsidy,gamified_loyalty_bar,47.17,40.0,7.98
ORD-500031,15,tier_1_megacity,tiered_basket_subsidy,gamified_loyalty_bar,60.36,19.0,9.28
ORD-500032,23,tier_1_megacity,dynamic_surge_multiplier,one_click_express,52.92,28.0,16.83
ORD-500033,22,tier_1_megacity,dynamic_surge_multiplier,gamified_loyalty_bar,26.04,38.0,4.56
ORD-500034,22,tier_1_megacity,tiered_basket_subsidy,one_click_express,20.75,42.0,6.94
ORD-500035,15,tier_2_regional,fixed_low_fee,upsell_grid_modal,36.66,25.0,4.01
